first_name,last_name,initials,initials_alt,other_names,title,gender,email,organisation,region,position,start_date,end_date,end_reason
Sisa James,Njikelana,S J,,,,,snjikelana@parliament.gov.za,ANC,,Member,,,0
Mokoane Collen,Maine,M C,,,,,,ANC,,Member,,,0
Cedric Thomas,Frolick,C T,,,,,cfrolick@parliament.gov.za,ANC,,Member,,,0
Z P,Jordan,Z P,,,Dr,,,ANC,,Member,,,0
Dina Deliwe,Pule,D D,,,,,,ANC,,Member,,,0
Dorothy Mapula,Ramodibe,D M,,,,,dramodibe@parliament.gov.za,ANC,,Member,,,0
Bongekile Jabulile,Dlomo,B J,,,,,,ANC,,Member,,,0
Holmes Peter,Maluleka,H P,,,,,hmaluleka@parliament.gov.za,ANC,,Member,,,0
Lumka Elizabeth,Yengeni,L E,,,,,lyengeni@parliament.gov.za,ANC,,Member,,,0
Thizwilondi Rejoyce,Mabudafhasi,T R,,,,,,ANC,,Member,,,0
Dikeledi Rebecca,Tsotetsi,D R,,,,,dtsotetsi@parliament.gov.za,ANC,,Member,,,0
Bonginkosi Emmanuel,Nzimande,B E,,,,,,ANC,,Member,,,0
I,Vadi,I,,,Mr,,,ANC,,Member,,,0
Mtikeni Patrick,Sibande,M P,,,,,psibande@parliament.gov.za,ANC,,Member,,,0
Emmanuel Nkosinathi,Mthethwa,E N,,,,,,ANC,,Member,,,0
Elizabeth Dipuo,Peters,E D,,,,,,ANC,,Member,,,0
Bafumani Aaron,Mnguni,B A,,,,,bmnguni@parliament.gov.za,ANC,,Member,,,0
Patricia Emily,Adams,P E,,,,,padams@parliament.gov.za,ANC,,Member,,,0
Maite Emily,Nkoana-Mashabane,M E,,,,,,ANC,,Member,,,0
G L,Mahlangu-Nkabinde,G L,,,Ms,,,ANC,,Member,,,0
M E,Tshabalala-Msimang,M E,,,Dr,,,ANC,,Member,,,0
Bhekizizwe Zeblon,Zulu,B Z,,,,,bzulu@parliament.gov.za,ANC,,Member,,,0
Tina Monica,Joemat-Pettersson,T M,,,,,,ANC,,Member,,,0
Dalitha Fiki,Boshigo,D F,,,,,dboshigo@parliament.gov.za,ANC,,Member,,,0
Tinyiko Lwandlamuni Phillia,Nwamitwa-Shilubana,T L P,,N'wamitwa-Shilubana,,,,ANC,,Member,,,0
Mabel Patronella,Mentor,M P,,,,,mmentor@parliament.gov.za,ANC,,Member,,,0
Kgwaridi Buti,Manamela,K B,,,,,kmanamela@parliament.gov.za,ANC,,Member,,,0
Knowledge Malusi Nkanyezi,Gigaba,K M N,,,,,,ANC,,Member,,,0
Grant Trevor,Snell,G T,,,,,gsnell@parliament.gov.za,ANC,,Member,,,0
Molebogeng Christina,Dube,M C,,,,,mdube@parliament.gov.za,ANC,,Member,,,0
Ntombikayise Margaret,Twala,N M,,,,,nmtwala@parliament.gov.za,ANC,,Member,,,0
M,Gungubele,M,,,Mr,,,ANC,,Member,,,0
Joel Mntwabantu,Matshoba,J M,,,,,jmatshoba@parliament.gov.za,ANC,,Member,,,0
Hargreaves Tisetso,Magama,H T,,,,,hmagama@parliament.gov.za,ANC,,Member,,,0
Zoliswa Albertina,Kota-Fredericks,Z A,,,,,zkota@parliament.gov.za,ANC,,Member,,,0
Meriam Nozibonelo,Phaliso,M N,,,,,mphaliso@parliament.gov.za,ANC,,Member,,,0
Donald Mlindwa,Gumede,D M,,,,,dgumede@parliament.gov.za,ANC,,Member,,,0
Mwelo,Nonkonyana,M,,,,,mnonkonyane@parliament.gov.za,ANC,,Member,,,0
Fikile April,Mbalula,F A,,,,,,ANC,,Member,,,0
N E,Hangana,N E,,,Ms,,,ANC,,Member,,,0
Johannes Hendrik,De Lange,J H,,,,,jdelange@parliament.gov.za,ANC,,Member,,,0
Sophia Theresa,Williams-De Bruyn,S T,,,,,sdebruyn@parliament.gov.za,ANC,,Member,,,0
Linda Nellie,Moss,L N,,,,,lmoss@parliament.gov.za,ANC,,Member,,,0
Yolanda Rachel,Botha,Y R,,,,,ybotha@parliament.gov.za,ANC,,Member,,,0
Muntu Doreen,Nxumalo,M D,,,,,mnxumalo@parliament.gov.za,ANC,,Member,,,0
Nomaindiya Cathleen,Mfeketo,N C,,,,,speaker@parliament.gov.za,ANC,,Member,,,0
Zwelivelile Mandlesizwe Dalibhunga,Mandela,Z M D,,,,,zmandela@parliament.gov.za,ANC,,Member,,,0
Mzunani Roseberry,Sonto,M R,,,,,rsonto@parliament.gov.za,ANC,,Member,,,0
Joyce Mabel,Masilo,J M,,,,,jmasilo@parliament.gov.za,ANC,,Member,,,0
Ndleleni Moses,Duma,N M,,,,,nduma@parliament.gov.za,ANC,,Member,,,0
Wilma Susan,Newhoudt-Druchen,W S,,,,,wnewhoudt@parliament.gov.za,ANC,,Member,,,0
Divili Wilson,Mavunda,D W,,,,,dmavunda@parliament.gov.za,ANC,,Member,,,0
Emmanuel,Magubane,E,,,,,,ANC,,Member,,,0
E,Godongwana,E,,,Mr,,,ANC,,Member,,,0
Maropeng Elizabeth,Pilusa-Mosoane,M E,,,,,mpilusa-mosoane@parliament.gov.za,ANC,,Member,,,0
G Q M,Doidge,G Q M,,,Mr,,,ANC,,Member,,,0
Judith,Tshabalala,J,,,,,,ANC,,Member,,,0
Hendrietta Ipeleng,Bogopane-Zulu,H I,,,,,hbogopane@parliament.gov.za,ANC,,Member,,,0
Jerry Dimotana,Thibedi,J D,,,,,jthibedi@parliament.gov.za,ANC,,Member,,,0
Helen,Line-Hendriks,H,,Line-Hendriks,,,hline@parliament.gov.za,ANC,,Member,,,0
Tandiwe Elizabeth,Kenye,T E,,,,,tkenye@parliament.gov.za,ANC,,Member,,,0
Malusi Stanley,Motimele,M S,,,,,mmotimele@parliament.gov.za,ANC,,Member,,,0
Sizeni Grace,Bothman,S G,,Ms S G Pampiri,,,gbothman@parliament.gov.za,ANC,,Member,,,0
Archibold Jomo,Nyambi,A J,,,,,anyambi@parliament.gov.za,ANC,,Member,,,0
Hlengiwe Christophina,Mgabadeli,H C,H C O,,,,hmgabadeli@parliament.gov.za,ANC,,Member,,,0
Modjadji Sarah,Mangena,M S,,,,,momangena@parliament.gov.za,ANC,,Member,,,0
Mpumelelo Frederick,Gona,M F,,,,,mgona@parliament.gov.za,ANC,,Member,,,0
Makhotso Magdeline,Sotyu,M M,,,,,msotyu@parliament.gov.za,ANC,,Member,,,0
Eugene Nhlanhla Nqaba,Ngcobo,E N N,,,,,engcobo@parliament.gov.za,ANC,,Member,,,0
Dudu Hellen,Mathebe,D H,,,,,dmathebe@parliament.gov.za,ANC,,Member,,,0
Celiwe Qhamkile,Madlopha,C Q,,,,,cmadlopha@parliament.gov.za,ANC,,Member,,,0
Mary-Ann Lindelwa,Dunjwa,M L,,,,,mdunjwa@parliament.gov.za,ANC,,Member,,,0
R L,Padayachie,R L,,,Mr,,,ANC,,Member,,,0
Lydia Sindisiwe,Chikunga,L S,,,,,lchikunga@parliament.gov.za,ANC,,Member,,,0
Susan Comber,Van der Merwe,S C,,,,,svandermerwe@parliament.gov.za,ANC,,Member,,,0
Busisiwe Veronica,Mncube,B V,,,,,bmncube@parliament.gov.za,ANC,,Member,,,0
B A,Hogan,B A,,,Ns,,,ANC,,Member,,,0
Shepherd Malusi,Mayatula,S M,,,,,,ANC,,Member,,,0
Mninwa Johannes,Mahlangu,M J,,,,,ljiyane@parliament.gov.za,ANC,,Member,,,0
N M,Magazi,N M,M N,,Ms,,,ANC,,Member,,,0
Max Vuyisile,Sisulu,M V,,,,,speaker@parliament.gov.za,ANC,,Member,,,0
Foni Florence,Mushwana,F F,,,,,fmushwana@parliament.gov.za,ANC,,Member,,,0
AnnelizÃƒÂ©,van Wyk,A,,,,,anvanwyk@parliament.gov.za,ANC,,Member,,,0
Dumsani Livingstone,Ximbi,X,D L,Ximbi,,,,ANC,,Member,,,0
Mnyamezeli Shedrack,Booi,M S,,,,,mbooi@parliament.gov.za,ANC,,Member,,,0
Barbara,Thomson,B,,,,,bthomson@parliament.gov.za,ANC,,Member,,,0
Zwelifile Christopher,Ntuli,Z C,,,,,zntuli@parliament.gov.za,ANC,,Member,,,0
Nomakhaya Mavis,Mdaka,N M,M N,,,,nmdaka@parliament.gov.za,ANC,,Member,,,0
M M A,Nyama,M M A,,,Ms,,,ANC,,Member,,,0
Mgolodi Moses,Dikgacwi,M M,,,,,mdikgacwi@parliament.gov.za,ANC,,Member,,,0
Livhuhani,Mabija,L,,,,,lmabija@parliament.gov.za,ANC,,Member,,,0
Rebecca Mmakosha,Motsepe,R M,,,,,mmotsepe@parliament.gov.za,ANC,,Member,,,0
Lindiwe Ntombikayise,Mjobo,L N,,,,,lmjobo@parliament.gov.za,ANC,,Member,,,0
Nosiviwe Noluthando,Mapisa-Nqakula,N N,,,,,,ANC,,Member,,,0
Nombuyiselo Joyce,Ngele,N J,,,,,nngele@parliament.gov.za,ANC,,Member,,,0
Nomvula Frieda,Mathibela,N F,,,,,nmathibela@parliament.gov.za,ANC,,Member,,,0
Mapule Veronica,Mafolo,M V,,,,,mmafolo@parliament.gov.za,ANC,,Member,,,0
C,Nqakula,C,,,Mr,,,ANC,,Member,,,0
Fatima Ismail,Chohan,F I,,,,,fchohan@parliament.gov.za,ANC,,Member,,,0
Aubrey Dundubala,Mokoena,A D,,,,,amokoena@parliament.gov.za,ANC,,Member,,,0
Phumzile,Bhengu,P,,,,,pbhengu@parliament.gov.za,ANC,,Member,,,0
Mamosoeu Wendy,Makgate,M W,,,,,mmakgate@parliament.gov.za,ANC,,Member,,,0
Mamagase Elleck,Nchabeleng,M E,,,,,mnchabeleng@parliament.gov.za,ANC,,Member,,,0
Rachel Nomonde,Rasmeni,R N,,,,,rrasmeni@parliament.gov.za,ANC,,Member,,,0
Masefele Rosalia,Morutoa,M R,,,,,rmorutoa@parliament.gov.za,ANC,,Member,,,0
Fezile,Bhengu,F,,,,,,ANC,,Member,,,0
Mmatlala Grace,Boroto,M G,,,,,mboroto@parliament.gov.za,ANC,,Member,,,0
Manana Florence,Tlake,M F,,,,,mtlake@parliament.gov.za,ANC,,Member,,,0
Nosipho Dorothy,Ntwanambi,N D,,,,,nntwanambi@parliament.gov.za,ANC,,Member,,,0
Thandi Cecilia,Memela,T C,,,,,tmashamaite@parliament.gov.za,ANC,,Member,,,0
Wendy Joy,Nelson,W J,WJ,,,,wnelson@parliament.gov.za,ANC,,Member,,,0
T J,Bonhomme,T J,,,Mr,,,ANC,,Member,,,0
Refilwe Modikanalo,Mashigo,R M,R J,,,,rmashigo@parliament.gov.za,ANC,,Member,,,0
Morwesi Johannah,Segale-Diswai,M J,,,,,msegale-diswai@parliament.gov.za,ANC,,Member,,,0
Sikhumbuzo Eric,Kholwane,S E,,,,,skholwane@parliament.gov.za,ANC,,Member,,,0
Mathole Serofo,Motshekga,M S,,,,,mmotshekga@parliament.gov.za,ANC,,Member,,,0
Gaolatlhe Godfrey,Oliphant,G G,,,,,goliphant@parliament.gov.za,ANC,,Member,,,0
Nomfundo Ntombenhle Penelope,Mkhulusi,N N P,,,,,nmkhulusi@parliament.gov.za,ANC,,Member,,,0
Jabhile Pretty,Ngubeni-Maluleka,J P,,,,,,ANC,,Member,,,0
Ntombikayise Nomawisile,Sibhida,N N,,Sibhidla,,,nsibhida@parliament.gov.za,ANC,,Member,,,0
Z L,Madasa,Z L,,,Mr,,,ANC,,Member,,,0
Elsie Mmathulare,Coleman,E M,,,,,ecoleman@parliament.gov.za,ANC,,Member,,,0
Arthur Roy,Ainslie,A R,,,,,aainslie@parliament.gov.za,ANC,,Member,,,0
Bomo Edna Edith,Molewa,B E E,,,,,,ANC,,Member,,,0
Siphiwo Sam,Mazosiwe,S S,,,,,smazosiwe@parliament.gov.za,ANC,,Member,,,0
Lusizo Sharon,Makhubela-Mashele,L S,,,,,lmakhubela-mashele@parliament.gov.za,ANC,,Member,,,0
Tshoganetso Mpho Adolphina,Gasebonwe,T M A,,,,,tgasebonwe@parliament.gov.za,ANC,,Member,,,0
James Jim,Skosana,J J,,,,,jskosana@parliament.gov.za,ANC,,Member,,,0
Stella Tembisa,Ndabeni,S T,,,,,sndabeni@parliament.gov.za,ANC,,Member,,,0
Goodwill Sbusiso,Radebe,G S,,,,,gradebe@parliament.gov.za,ANC,,Member,,,0
Bathabile Olive,Dlamini,B O,,,,,,ANC,,Member,,,0
Zanoxolo Goodman,Wayile,,,,Mr,,,ANC,,Member,,,0
Zukile,Luyenge,Z,,,,,zluyenge@parliament.gov.za,ANC,,Member,,,0
Bonisile,Nesi,B,,,,,bnesi@parliament.gov.za,ANC,,Member,,,0
B M,Balfour,B M,,,Mr,,,ANC,,Member,,,0
Nthabiseng Pauline,Khunou,N P,,,,,nkhunou@parliament.gov.za,ANC,,Member,,,0
Mosie Antony,Cele,M A,,,,,mcele@parliament.gov.za,ANC,,Member,,,0
Andrew,Mlangeni,A,,,,,amlangeni@parliament.gov.za,ANC,,Member,,,0
Frans Tlokwe,Maserumule,F T,,,,,,ANC,,Member,,,0
Ebrahim Mohammed,Sulliman,E M,,,,,esulliman@parliament.gov.za,ANC,,Member,,,0
Phumuzile Catherine,Ngwenya-Mabila,P C,,,,,pngwenya-mabila@parliament.gov.za,ANC,,Member,,,0
L B,Hendricks,L B,,,Ms,,,ANC,,Member,,,0
Siyabonga Cyprian,Cwele,S C,,,,,,ANC,,Member,,,0
Fatima,Hajaig,F,,,,,fhajaig@parliament.gov.za,ANC,,Member,,,0
John Kabelo,Moepeng,J K,,,,,,ANC,,Member,,,0
Bhekiziswe Abram,Radebe,B A,,,,,bradebe@parliament.gov.za,ANC,,Member,,,0
Koena Arthur,Moloto,K A,,,,,kmoloto@parliament.gov.za,ANC,,Member,,,0
E,Rasool,E,,,Mr,,,ANC,,Member,,,0
Malesane Priscilla,Themba,M P,,,,,mthemba@parliament.gov.za,ANC,,Member,,,0
Sampson Phathakge,Makwetla,S P,,,,,,ANC,,Member,,,0
Alexia Zintle,Ndlazi,A Z,,Ndlanzi,,,zndlazi@parliament.gov.za,ANC,,Member,,,0
Letsau Nelson,Diale,L N,,,,,ldiale@parliament.gov.za,ANC,,Member,,,0
Phindisile Pretty,Xaba,P P,,,,,pxaba@parliament.gov.za,ANC,,Member,,,0
L D,Zulu,L D,,,Ms,,,ANC,,Member,,,0
Ayanda,Dlodlo,A,,,,,adlodlo@parliament.gov.za,ANC,,Member,,,0
Seiso Joel,Mohai,,,,Mr,,,ANC,,Member,,,0
Grace Kekulu,Tseke,G K,,,,,gtseke@parliament.gov.za,ANC,,Member,,,0
H P,Chauke,H P,,,Mr,,,ANC,,Member,,,0
Xitlhangoma,Mabasa,X,,,,,xmabaso@parliament.gov.za,ANC,,Member,,,0
M E,Mbili,M E,,,Mr,,,ANC,,Member,,,0
Tokyo Mosima Gabriel,Sexwale,T M G,,,,,,ANC,,Member,,,0
Vatiswa,Bam-Mugwanya,V,,,,,vbam-mugwanya@parliament.gov.za,ANC,,Member,,,0
Mohamed Enver,Surty,M E,,,,,,ANC,,Member,,,0
Dumisile Goodness,Nhlengethwa,D G,,,,,dnhlengethwa@parliament.gov.za,ANC,,Member,,,0
Marius Llewellyn,Fransman,M L,,,,,mfransman@parliament.gov.za,ANC,,Member,,,0
F T,Masango,F T,F T-T,,Mr,,,ANC,,Member,,,0
Pamela Nombeko,Daniels,P N,,,,,padaniels@parliament.gov.za,ANC,,Member,,,0
Ngoako Abel,Ramatlhodi,N A,,,,,nramatlhodi@parliament.gov.za,ANC,,Member,,,0
Loretta,Jacobus,L,,,,,ljacobus@parliament.gov.za,ANC,,Member,,,0
Sediane Danny,Montsitsi,S D,,,,,dmontsitsi@parliament.gov.za,ANC,,Member,,,0
Alina,Mfulo,A,,,,,,ANC,,Member,,,0
Hope Helene,Malgas,H H,,,,,hmalgas@parliament.gov.za,ANC,,Member,,,0
Johan Pieter,Gelderblom,J P,,,,,jgelderblom@parliament.gov.za,ANC,,Member,,,0
Vincent George,Smith,V G,,,,,vsmith@parliament.gov.za,ANC,,Member,,,0
Masefako Clarah,Digkale,M C,,,,,mdikgale@parliament.gov.za,ANC,,Member,,,0
Lulama Marytheresa,Xingwana,L M,,,,,,ANC,,Member,,,0
Pamela,Tshwete,P,,,,,ptshwete@parliament.gov.za,ANC,,Member,,,0
Eric,Nyekemba,E,,,,,enyekemba@parliament.gov.za,ANC,,Member,,,0
M M S,Mdladlana,M M S,,,Mr,,,ANC,,Member,,,0
S,Shiceka,S,,,Mr,,,ANC,,Member,,,0
Gerhardus Willem,Koornhof,G W,,,,,gkoornhof@parliament.gov.za,ANC,,Member,,,0
Enock Muzi,Mthethwa,E M,,,,,emthethwa@parliament.gov.za,ANC,,Member,,,0
Gauta George,Mokgoro,G G,,,,,gmokgoro@parliament.gov.za,ANC,,Member,,,0
Joanmariae Louise,Fubbs,J L,,,,,jfubbs@parliament.gov.za,ANC,,Member,,,0
Robert Haydn,Davies,R H,,,,,,ANC,,Member,,,0
Agnes Noluthando Daphne,Qikani,A N D,,,,,aqikani@parliament.gov.za,ANC,,Member,,,0
Daphne Zukiswa,Rantho,D Z,,,,,,ANC,,Member,,,0
John Harold,Jeffery,J H,,,,,jjeffery@parliament.gov.za,ANC,,Member,,,0
Trevor,Bonhomme,T,,,,,,ANC,,Member,,,0
Johanna Mmule,Maluleke,J M,,,,,jmaluleke@parliament.gov.za,ANC,,Member,,,0
Manana Catherine,Mabuza,M C,,,,,mmabuza@parliament.gov.za,ANC,,Member,,,0
Zephroma Sizani,Dubazana,Z S,,,,,zdubazana@parliament.gov.za,ANC,,Member,,,0
Benjamin,Turok,B,,,,,bturok@parliament.gov.za,ANC,,Member,,,0
Lewis Paul Musawenkosi,Nzimande,L P M,,,,,lnzimande@parliament.gov.za,ANC,,Member,,,0
M A,Rantsolase,M A,,,Mrs,,,ANC,,Member,,,0
Helen Flora,Matlanyane,H F,,,,,hmatlanyane@parliament.gov.za,ANC,,Member,,,0
Vuselelo Vincent,Magagula,V V,,,,,vmagagula@parliament.gov.za,ANC,,Member,,,0
Eric,Mtshali,E,,,,,emtshali@parliament.gov.za,ANC,,Member,,,0
Mathume Joseph,Phaahla,M J,,Phaahia,,,,ANC,,Member,,,0
Freddie,Adams,F,,,,,fadams@parliament.gov.za,ANC,,Member,,,0
Sango Patekile,Holomisa,S P,,,,,sholomisa@parliament.gov.za,ANC,,Member,,,0
Raseriti Johannes,Tau,R J,,,,,rtau@parliament.gov.za,ANC,,Member,,,0
Gugile Ernest,Nkwinti,G E,,,,,,ANC,,Member,,,0
Dumisani Dennis,Gamede,D D,,,,,dgamede@parliament.gov.za,ANC,,Member,,,0
George,Lekgetho,G,,,,,glekgetho@parliament.gov.za,ANC,,Member,,,0
S M,Pillay,S M,,,Dr,,,ANC,,Member,,,0
Adrian John,Williams,A J,,,,,awilliams@parliament.gov.za,ANC,,Member,,,0
Mlungisi,Johnson,M,,,,,mjohnson@parliament.gov.za,ANC,,Member,,,0
Thembelani Waltermade,Nxesi,T W,,,,,,ANC,,Member,,,0
Mduduzi Comfort,Manana,M C,,,,,mdmanana@parliament.gov.za,ANC,,Member,,,0
Nomalungelo,Gina,N,,,,,ngina@parliament.gov.za,ANC,,Member,,,0
Elliot Mshiyeni,Sogoni,E M,,,,,esogoni@parliament.gov.za,ANC,,Member,,,0
Agnes Christin,Mashishi,A C,,,,,amashishi@parliament.gov.za,ANC,,Member,,,0
Nomzamo Winfred,Madikizela-Mandela,N W,,,,,nmadikizela-mandela@parliament.gov.za,ANC,,Member,,,0
M A,Stofile,M A,,,Rev,,,ANC,,Member,,,0
Maggie Margaret,Maunye,M M,,,,,mmaunye@parliament.gov.za,ANC,,Member,,,0
Kgomotso Ruth,Magau,K R,,,,,kmagau@parliament.gov.za,ANC,,Member,,,0
Gelana Sarian,Sindane,G S,,,,,,ANC,,Member,,,0
Thabadiawa Alfred,Mufamadi,T A,,,,,tmufamadi@parliament.gov.za,ANC,,Member,,,0
David Douglas,Van Rooyen,D D,,,,,dvanrooyen@parliament.gov.za,ANC,,Member,,,0
Makgathatso Charlotte Chana,Pilane-Majake,M C C,,,,,,ANC,,Member,,,0
Shiaan-Bin,Huang,S,S-B,,,,shuang@parliament.gov.za,ANC,,Member,,,0
Nomathemba Theresia,November,N T,,,,,nnovember@parliament.gov.za,ANC,,Member,,,0
D K,Mataboge,D K,,,Mr,,,ANC,,Member,,,0
Regina Mina Mpontseng,Lesoma,R M M,,,,,,ANC,,Member,,,0
M,Sefularo,M,,,Dr,,,ANC,,Member,,,0
Gertroedh,Saal,G,,,,,gsaal@parliament.gov.za,ANC,,Member,,,0
Charles Danny,Kekana,C D,,Kekane,,,dkekana@parliament.gov.za,ANC,,Member,,,0
Raesibe Eunice,Nyalungu,R E,,,,,rnyalungu@parliament.gov.za,ANC,,Member,,,0
Jane,Manganye,J,,,,,jmanganye@parliament.gov.za,ANC,,Member,,,0
Christopher Lancaster,Gololo,C L,,,,,cgololo@parliament.gov.za,ANC,,Member,,,0
Jabu Elsie,Sosibo,J E,,,,,jsosibo@parliament.gov.za,ANC,,Member,,,0
Nompendlko Doris,Ngcengwane,N D,,,,,dngcengwane@parliament.gov.za,ANC,,Member,,,0
Tshililo Michael,Masutha,T M,,,,,mmasutha@parliament.gov.za,ANC,,Member,,,0
Nomopo Maggie,Madlala,N M,,,,,nmadlala@parliament.gov.za,ANC,,Member,,,0
Ohm Collins,Chabane,O C,,,,,,ANC,,Member,,,0
Samuel Gaaesi,Mmusi,S G,,,,,smmusi@parliament.gov.za,ANC,,Member,,,0
Shipokasa Paulus,Mashatile,S P,P,,,,,ANC,,Member,,,0
Gratitude,Magwanishe,G,,,,,gmagwanishe@parliament.gov.za,ANC,,Member,,,0
Lindiwe Nonceba,Sisulu,L N,,,,,,ANC,,Member,,,0
Mmamoloko Tryphosa,Kubayi,M T,,,,,mmkubayi@parliament.gov.za,ANC,,Member,,,0
Marthinus Christoffel Johannes,Van Schalkwyk,M C J,,,,,,ANC,,Member,,,0
Mankwana Christinah,Mohale,M C,,,,,mmohale@parliament.gov.za,ANC,,Member,,,0
B P,Sonjica,B P,,,Ms,,,ANC,,Member,,,0
Mbuyiselo Patrick,Jacobs,M P,,,,,mjacobs@parliament.gov.za,ANC,,Member,,,0
Mpane Martha,Mohorosi,M M,,,,,,ANC,,Member,,,0
Setlamorago Godfrey,Thobejane,S G,,,,,sthobejane@parliament.gov.za,ANC,,Member,,,0
B M,Komphela,B M,,,Mr,,,ANC,,Member,,,0
Tshiwela Elida,Lishivha,T E,,,,,tlishivha@parliament.gov.za,ANC,,Member,,,0
Nomfunelo Rose-Mary,Mabedla,N R,,,,,nmabedla@parliament.gov.za,ANC,,Member,,,0
Kgalema Petrus,Motlanthe,K P,,,,,,ANC,,Member,,,0
Cecil Valentine,Burgess,C V,,,,,cburgess@parliament.gov.za,ANC,,Member,,,0
Trevor Andrew,Manuel,T A,,,,,,ANC,,Member,,,0
Monwabisi Bevan,Goqwana,M B,,,,,mgoqwana@parliament.gov.za,ANC,,Member,,,0
Beatrice Thembekile,Ngcobo,B T,,,,,bngcobo@parliament.gov.za,ANC,,Member,,,0
Piet Mohlamme,Mathebe,P M,,,,,pmathebe@parliament.gov.za,ANC,,Member,,,0
Pearl,Maduna,P,,Petersen-Maduna,,,pmaduna@parliament.gov.za,ANC,,Member,,,0
Ebrahim Ismail,Ebrahim,E I,,,,,,ANC,,Member,,,0
N F,Nyanda,N F,M F,,Ms,,,ANC,,Member,,,0
K N,Shoba,K N,,,Ms,,,ANC,,Member,,,0
Thapelo Dorothy,Chiloane,T D,,,,,tchiloane@parliament.gov.za,ANC,,Member,,,0
Matome Humphrey,Mokgobi,M H,,,,,mmokgobi@parliament.gov.za,ANC,,Member,,,0
T S,Farisani,T S,,,Dr,,,ANC,,Member,,,0
Xoliswa Caroline,Makasi,X C,,,,,xmakasi@parliament.gov.za,ANC,,Member,,,0
Sheila Coleen Nkhensani,Sithole,S C N,,,,,shsithole@parliament.gov.za,ANC,,Member,,,0
Luwellyn Tyrone,Landers,L T,,,,,llanders@parliament.gov.za,ANC,,Member,,,0
Azwihangwisi Faith,Muthambi,A F,,,,,amuthambi@parliament.gov.za,ANC,,Member,,,0
Dudu Olive,Chili,D O,,,,,,ANC,,Member,,,0
Gloria Mary,Borman,G M,,,,,gborman@parliament.gov.za,ANC,,Member,,,0
Bulelwa,Tinto,B,,,,,btinto@parliament.gov.za,ANC,,Member,,,0
Bongi Maria,Ntuli,B M,,,,,,ANC,,Member,,,0
Mzameni Richard,Mdakane,M R,,,,,mmdakane@parliament.gov.za,ANC,,Member,,,0
A N,Luthuli,A N,,,Dr,,,ANC,,Member,,,0
Andries Carl,Nel,A C,,,,,Andries.Nel@parliament.gov.za,ANC,,Member,,,0
L N,Mkhize,L N,,,Mr,,,ANC,,Member,,,0
Gregory David,Schneemann,G D,,Scheemann,,,gschneemann@parliament.gov.za,ANC,,Member,,,0
Lefu Peter,Khoarai,L P,,,,,lkhoarai@parliament.gov.za,ANC,,Member,,,0
Matsie Angelina,Motshekga,M A,,,,,,ANC,,Member,,,0
Yunus Ismail,Carrim,Y I,Y l,,,,ycarrim@parliament.gov.za,ANC,,Member,,,0
Hlengiwe Buhle,Mkhize,H B,,,,,,ANC,,Member,,,0
Amos Gerald,Matila,A G,,,,,amatila@parliament.gov.za,ANC,,Member,,,0
Nosilivere Winnifred,Magadla,N W,,,,,,ANC,,Member,,,0
Jonas Ben,Sibanyoni,J B,,,,,jsibanyoni@parliament.gov.za,ANC,,Member,,,0
M B M,Mpahlwa,M B M,,,Mr,,,ANC,,Member,,,0
Nokhaya Adelaide,Mnisi,N A,,,,,nmnisi@parliament.gov.za,ANC,,Member,,,0
